lesóhajt,elsóhajt
lesorvad,elsorvad
lespórol,elspórol
lesuhint,elsuhint
lesúlyoz,elsúlyoz
lesunyít,elsunyít
lesurran,elsurran
lesurrog,elsurrog
lesuttog,elsuttog
lesüpped,elsüpped
leszakad,elszakad
leszakít,elszakít
leszalad,elszalad
leszámít,elszámít
leszámol,elszámol
leszámoz,elszámoz
leszárad,elszárad
leszárít,elszárít
leszavaz,elszavaz
leszédít,elszédít
leszédül,elszédül
leszegel,elszegel
leszelel,elszelel
leszerel,elszerel
leszeret,elszeret
leszerez,elszerez
leszitál,elszitál
leszívat,elszívat
leszokik,elszokik
leszólás,elszólás
leszólít,elszólít
leszopat,leszopta
leszorít,elszorít
leszorul,elszorul
leszökik,elszökik
leszűkít,elszűkít
leszűkül,elszűkül
letalpal,eltalpal
letáncol,eltáncol
letapint,eltapint
letapsol,eltapsol
letaszít,eltaszít
letekint,eltekint
letépdes,eltépdes
letépked,eltépked
letérdel,eltérdel
leterhel,elterhel
leterjed,elterjed
letervez,eltervez
letesped,eltesped
letiltás,eltiltás
letiltat,eltiltat
letiprat,eltiprat
letompít,eltompít
letompul,eltompul
letorzít,eltorzít
letorzul,eltorzul
letotyog,eltotyog
letöltet,eltöltet
letömköd,eltömköd
letördel,eltördel
letörlés,eltörlés
letörpül,eltörpül
letörtet,eltörtet
letussol,eltussol
letűzdel,eltűzdel
leúsztat,elúsztat
leutánoz,elutánoz
leutazik,elutazik
leütöget,elütöget
leüzemel,elüzemel
levackol,elvackol
levagdal,elvagdal
levagdos,elvagdos
levágtat,elvágtat
leváltat,elváltat
levegyít,elvegyít
leverdes,elverdes
levérzik,elvérzik
leveszik,elveszik
leveszít,elveszít
levetett,elvetett
levezető,elvezető
levillan,elvillan
levontat,elvontat
lezajlik,elzajlik
lezörren,elzörren
lezötyög,elzötyög
lezüllik,elzüllik
lezsákol,elzsákol
eladogat,leadogat
eladódik,leadódik
elakaszt,leakaszt
elalszik,lealszik
elapaszt,leapaszt
elbaktat,lebaktat
elballag,leballag
elbaltáz,lebaltáz
elbambul,lebambul
elbarmol,lebarmol
elbarnul,lebarnul
elbarnít,lebarnít
elbaszik,lebaszik
elbeszél,lebeszél
elbillen,lebillen
elbocsát,lebocsát
elbomlik,lebomlik
elbontat,lebontat
elbujtat,lebujtat
elbukkan,lebukkan
elbuktat,lebuktat
elburkol,leburkol
elbágyad,lebágyad
elbólint,lebólint
elbújtat,lebújtat
elcammog,lecammog
elcaplat,lecaplat
elcifráz,lecifráz
elciánoz,leciánoz
elcsapat,lecsapat
elcsapol,lecsapol
elcsapás,lecsapás
elcsatol,lecsatol
elcsavar,lecsavar
elcselez,lecselez
elcsepeg,lecsepeg
elcserél,lecserél
elcsigáz,lecsigáz
elcsinál,lecsinál
elcsitul,lecsitul
elcsitít,lecsitít
elcsobog,lecsobog
elcsomóz,lecsomóz
elcsorog,lecsorog
elcsukat,lecsukat
elcsurog,lecsurog
elcsábít,lecsábít
elcsókol,lecsókol
elcsődül,lecsődül
elcsöpög,lecsöpög
elcuppan,lecuppan
eldermed,ledermed
eldicsér,ledicsér
eldobban,ledobban
eldrótoz,ledrótoz
elduggat,leduggat
eldurran,ledurran
eldurvít,ledurvít
eldöbben,ledöbben
eldöglik,ledöglik
eldönget,ledönget
eldöngöl,ledöngöl
eldöntet,ledöntet
eldörgöl,ledörgöl
eldörmög,ledörmög
elelemez,leelemez
elereget,leereget
elereszt,leereszt
elernyőz,leernyőz
elerodál,leerodál
elfecseg,lefecseg
elfejtet,lefejtet
elfektet,lefektet
elfelejt,lefelejt
elferdít,leferdít
elfertőz,lefertőz
elfeslik,lefeslik
elfeszít,lefeszít
elfigyel,lefigyel
elfingik,lefingik
elfirkál,lefirkál
elfoglal,lefoglal
elfojtat,lefojtat
elfolyat,lefolyat
elfolyik,lefolyik
elfordul,lefordul
elfordít,lefordít
elforgat,leforgat
elformáz,leformáz
elforral,leforral
elfullad,lefullad
elfuttat,lefuttat
elföldel,leföldel
elfüstöl,lefüstöl
elfütyül,lefütyül
elgombol,legombol
elgondol,legondol
elgyaláz,legyaláz
elgyávul,legyávul
elgyötör,legyötör
elgyűrűz,legyűrűz
elgörbít,legörbít
elgörbül,legörbül
elgördít,legördít
elgördül,legördül
elgörget,legörget
elhajlik,lehajlik
elhajlás,lehajlás
elhajlít,lehajlít
elhajtat,lehajtat
elhalkul,lehalkul
elhalkít,lehalkít
elhamvad,lehamvad
elhangol,lehangol
elhantol,lehantol
elharcol,leharcol
elharsog,leharsog
elhelyez,lehelyez
elhervad,lehervad
elhibban,lehibban
elhiggad,lehiggad
elhirdet,lehirdet
elhordat,lehordat
elhullat,lehullat
elhullik,lehullik
elhuppan,lehuppan
elhurcol,lehurcol
elhányat,lehányat
elhátrál,lehátrál
elhúzgál,lehúzgál
elhülyít,lehülyít
elhülyül,lehülyül
elhümmög,lehümmög
eligazol,leigazol
eligazít,leigazít
eljegyez,lejegyez
eljelent,lejelent
eljuttat,lejuttat
eljárkál,lejárkál
elkapkod,lekapkod
elkarmol,lekarmol
elkaszál,lekaszál
elkattan,lekattan
elkerget,lekerget
elkering,lekering
elketyeg,leketyeg
elkezdet,lekezdet
elkiabál,lekiabál
elkoldul,lekoldul
elkonyul,lekonyul
elkoplal,lekoplal
elkoptat,lekoptat
elkorhad,lekorhad
elkullog,lekullog
elkurváz,lekurváz
elkussol,lekussol
elképzel,leképzel
elkérdez,lekérdez
elkészít,lekészít
elkészül,lekészül
elkísért,lekísért
elkószál,lekószál
elköpköd,leköpköd
elköszön,leköszön
elköttet,leköttet
elkúszik,lekúszik
elküldet,leküldet
ellandol,lelandol
ellankad,lelankad
ellassul,lelassul
ellazsál,lelazsál
ellebben,lelebben
ellendít,lelendít
ellendül,lelendül
elleplez,leleplez
ellibben,lelibben
ellocsol,lelocsol
ellopkod,lelopkod
ellágyul,lelágyul
ellágyít,lelágyít
ellépdel,lelépdel
ellépked,lelépked
elléptet,leléptet
ellökdös,lelökdös
elmaradt,lemaradt
elmentet,lementet
elmerült,lemerült
elmeszel,lemeszel
elmondat,lemondat
elmondás,lemondás
elmosdik,lemosdik
elmozdul,lemozdul
elmozgat,lemozgat
elmunkál,lemunkál
elmállik,lemállik
elmászik,lemászik
elmélyed,lemélyed
elmélyít,lemélyít
elmélyül,lemélyül
elmérgez,lemérgez
elnagyol,lenagyol
elnagyít,lenagyít
elnulláz,lenulláz
elnyaral,lenyaral
elnyelet,lenyelet
elnyelés,lenyelés
elnyomat,lenyomat
elnyomoz,lenyomoz
elnyomul,lenyomul
elnyálaz,lenyálaz
elnyílik,lenyílik
elnyűgöz,lenyűgöz
elolajoz,leolajoz
eloperál,leoperál
elparkol,leparkol
elpaskol,lepaskol
elpattan,lepattan
elpattog,lepattog
elpenget,lepenget
elperdül,leperdül
elperget,leperget
elpontoz,lepontoz
elporlad,leporlad
elporlik,leporlik
elpotyog,lepotyog
elpróbál,lepróbál
elpuffan,lepuffan
elpukkad,lepukkad
elpukkan,lepukkan
