maradás,maradási
maraton,maratoni
március,márciusi
megaláz,megalázó
megelőz,megelőző
megfejt,megfejtő
meghajt,meghajtó
megijed,megijedt
meglejt,meglejtő
megment,megmentő
megmond,megmondó
megnyer,megnyerő
megnyit,megnyitó
megokol,megokolt
megszán,megszánt
megszív,megszíva
megtart,megtartó
megvált,megváltó
megvesz,megveszt
meggyőz,meggyőze
meggyőz,meggyőző
melegít,melegítő
mellkas,mellkasi
mélység,mélységű
menekül,menekülő
menekül,menekült
menetel,menetelő
merevít,merevítő
messiás,messiási
metszet,metszett
mézszín,mézszínű
mielőbb,mielőbbi
minőség,minőségi
minőség,minőségű
minősít,minősítő
misszió,missziós
mogyoró,mogyorós
monokli,monoklis
morzsol,morzsoló
mosogat,mosogató
múltkor,múltkori
muszkli,muszklis
működés,működési
újgazda,újgazdag
újrafut,újrafutó
sarabol,saraboló
sasszem,sasszemű
sebesül,sebesült
serkent,serkentő
sikerül,sikerült
sivatag,sivatagi
sminkel,sminkelt
smirgli,smirgliz
sokszög,sokszögű
solymár,solymári
sorrend,sorrendi
sóvárgó,sóvárgós
sörgyár,sörgyári
sötétít,sötétítő
spannol,spannolt
sportol,sportoló
statika,statikai
stempli,stempliz
sulykol,sulykoló
sulykol,sulykolt
suttyan,suttyant
süketít,süketítő
sürgető,sürgetős
ábrázol,ábrázoló
aggaszt,aggasztó
agyonfő,agyonfőz
akasztó,akasztós
aktfotó,aktfotós
aláfest,aláfestő
alagsor,alagsori
alapfok,alapfokú
albérlő,albérlői
áldozat,áldozati
áldozta,áldoztat
algebra,algebrai
alkotás,alkotási
alperes,alperesi
általér,általért
altiszt,altiszti
alvilág,alvilági
andalít,andalító
anyajog,anyajogi
anyajog,anyajogú
anyaság,anyasági
apostol,apostoli
április,áprilisi
araszol,araszoló
arcszín,arcszínű
artista,artistai
árvaház,árvaházi
árverés,árverési
árverez,árverező
asszony,asszonyi
átenged,átengedő
áteresz,átereszt
átfutás,átfutási
átizzad,átizzadt
átkapar,átkaparó
átkarol,átkaroló
átkelte,átkeltet
átkelte,átkeltez
átképző,átképzős
átkísér,átkísért
átmenet,átmeneti
átnézet,átnézett
átruház,átruházó
átszáll,átszálló
áttehet,áttehető
átterem,átteremt
áttétel,áttétele
átúszta,átúsztat
átvágta,átvágtat
átvonta,átvontat
azonnal,azonnali
odaülte,odaültet
odavesz,odaveszt
odazárt,odazárta
oktatás,oktatási
október,októberi
oldalaz,oldalazó
olimpia,olimpiai
olvasta,olvastat
olvaszt,olvasztó
osztály,osztályú
csacsog,csacsogó
csapkod,csapkodó
csappan,csappant
császár,császári
csattan,csattanó
csattan,csattant
csattog,csattogó
csengés,csengésű
csepegő,csepegős
cseppen,cseppent
csetten,csettent
csillan,csillant
csillog,csillogó
csíptet,csíptető
csiszol,csiszoló
csiszol,csiszolt
csonkol,csonkolt
csoszog,csoszogó
csökken,csökkenő
csökken,csökkent
csörren,csörrent
csúszás,csúszási
csügged,csüggedt
ébreszt,ébresztő
édesvíz,édesvízi
éjszaka,éjszakai
élesztő,élesztős
életerő,életerős
élettan,élettani
élettel,életteli
élvezet,élvezeti
émelygő,émelygős
émelyít,émelyítő
énekkar,énekkari
ércsomó,ércsomós
érdekel,érdekelt
éremtan,éremtani
érintet,érintett
érkezés,érkezési
értesít,értesítő
értékel,értékelt
érzékel,érzékelő
étkezés,étkezési
évjárat,évjáratú
kaliber,kaliberű
kanonok,kanonoki
kanyaró,kanyarós
kapcsol,kapcsoló
kapcsol,kapcsolt
károsul,károsult
kartárs,kartársi
kávéház,kávéházi
kéjvágy,kéjvágyó
képesít,képesítő
kéreget,kéregető
későbbi,későbbig
kereset,kereseti
kereset,keresett
kereset,keresetű
keretez,keretező
kerámia,kerámiai
kerület,kerületi
kesztyű,kesztyűs
kettyen,kettyent
kevéssé,kevésség
kezelés,kezelési
kiagyal,kiagyalt
kidagad,kidagadt
kímélet,kíméleti
kifakul,kifakult
kifejez,kifejező
kifejte,kifejtet
kifizet,kifizető
kifárad,kifáradt
kihajtó,kihajtós
kihatás,kihatású
kiindul,kiinduló
kiismer,kiismert
kijárat,kijárati
kijárás,kijárási
kikapta,kikaptat
kikelte,kikeltet
kikiált,kikiáltó
kikísér,kikísért
kimenet,kimeneti
kimerít,kimerítő
kimerül,kimerült
kimutat,kimutató
kiművel,kiművelt
kinyújt,kinyújtó
kinézés,kinézésű
kioktat,kioktató
kiolvas,kiolvasó
kipihen,kipihent
kipufog,kipufogó
kisbetű,kisbetűs
kisegít,kisegítő
kisipar,kisipari
kisüzem,kisüzemi
kitalál,kitalált
kitanul,kitanult
kiterem,kiteremt
kivasal,kivasalt
kivetet,kivetett
kivezet,kivezető
kivitel,kiviteli
kivitel,kivitelű
kivonta,kivontat
kiállás,kiállású
kiállít,kiállító
klinika,klinikai
kokszol,kokszoló
kombiné,kombinés
koponya,koponyai
koporsó,koporsós
koppant,koppantó
kortárs,kortársi
koszorú,koszorús
koszorú,koszorúz
kottyan,kottyant
kőbánya,kőbányai
könyvel,könyvelő
körbeér,körbeért
körbetű,körbetűz
környék,környéki
környez,környező
körülír,körülírt
köszönt,köszöntő
köszörű,köszörűs
kötelez,kötelező
követel,követelt
kövezet,kövezett
közélet,közéleti
közelít,közelítő
központ,központi
közrend,közrendű
közület,közületi
közüzem,közüzemi
kritika,kritikai
krumpli,krumplis
kutatás,kutatási
külföld,külföldi
különél,különélő
külszín,külszíni
babaarc,babaarcú
bajtárs,bajtársi
baleset,baleseti
ballada,balladai
barlang,barlangi
bátorít,bátorító
beborul,beborult
befejez,befejező
befejte,befejtet
begyűrű,begyűrűz
behatol,behatoló
behunyt,behunyta
bejárat,bejárati
bejárat,bejáratú
bekísér,bekísért
békülés,békülési
belátta,beláttat
belefog,belefogy
belehal,belehall
belehal,belehaló
beleidé,beleidéz
belépés,belépési
belépte,beléptet
beletol,beletold
belevés,belevész
belföld,belföldi
bemenet,bemeneti
bemutat,bemutató
benyelt,benyelte
beolvas,beolvasó
berepül,berepülő
berezel,berezelt
beruház,beruházó
beszáll,beszálló
beszari,beszarik
beszíja,beszíjaz
beszíva,beszívat
beszórt,beszórta
beszórt,beszórta
beugrat,beugrató
bevakol,bevakolt
bevezet,bevezető
bevonat,bevonatú
bevonul,bevonult
bíboros,bíborosi
bicikli,biciklis
bíróság,bírósági
bitorol,bitorolt
bliccel,bliccelő
bohózat,bohózati
bokszol,bokszoló
bonctan,bonctani
boríték,borítékú
borogat,borogató
borongó,borongós
borszag,borszagú
bőrtalp,bőrtalpú
buggyan,buggyant
bugyogó,bugyogós
bűnözés,bűnözési
üdvözít,üdvözítő
üdvözül,üdvözült
ünnepel,ünnepelt
üvegház,üvegházi
undorít,undorító
célköze,célközel
cirkusz,cirkuszi
zsarnok,zsarnoki
zsibáru,zsibárus
zsibbad,zsibbadt
zsibong,zsibongó
zsongít,zsongító
gázosít,gázosító
generál,generáló
gennyed,gennyedt
gomolya,gomolyag
gondola,gondolat
görnyed,görnyedt
paraszt,paraszti
parkett,parketta
párosít,párosító
passzív,passzíva
pásztor,pásztori
pattogó,pattogós
pengető,pengetős
pénztár,pénztári
pénzügy,pénzügyi
perzsel,perzselő
pihenés,pihenési
pirosít,pirosító
piszkál,piszkáló
pókháló,pókhálós
pókháló,pókhálóz
politúr,politúrú
porcogó,porcogós
pottyan,pottyant
presszó,presszós
priorál,priorált
próféta,prófétai
pukkant,pukkantó
pusztít,pusztító
pünkösd,pünkösdi
dagaszt,dagasztó
dalolás,dalolász
darabár,darabáru
darabol,daraboló
dedikál,dedikált
délszak,délszaki
délután,délutáni
derivál,derivált
diákkor,diákkori
dicsőít,dicsőítő
dicsőül,dicsőült
dobbant,dobbantó
dobozol,dobozolt
dohszag,dohszagú
döbbent,döbbentő
dörzsöl,dörzsölő
dörzsöl,dörzsölt
dörzsöl,dörzsölő
dörzsöl,dörzsölt
dróthaj,dróthajú
szaggat,szaggató
száguld,száguldó
szakadt,szakadta
szakajt,szakajtó
szakáll,szakállú
szakasz,szakaszt
szalámi,szalámis
szállít,szállító
számlál,számláló
számtan,számtani
szándék,szándékú
szekund,szekunda
szellem,szellemi
szellem,szellemű
személy,személyi
szemlél,szemlélő
szentel,szentelt
szentes,szentesi
szenved,szenvedő
szépség,szépségű
szerető,szeretői
szervez,szervező
szerviz,szervize
szerzet,szerzett
szétdúl,szétdúlt
szikkad,szikkadt
színész,színészi
színház,színházi
színlel,színlelt
színpad,színpadi
szintez,szintező
sziszeg,sziszegő
szittyó,szittyós
szívóka,szívókar
szolgál,szolgáló
szombat,szombati
szoptat,szoptató
szorong,szorongó
szökken,szökkent
szöktet,szöktető
sztornó,sztornóz
szurkol,szurkoló
jelentő,jelentős
jobbágy,jobbágyi
jóérzés,jóérzésű
jogosít,jogosító
jogtudó,jogtudós
jövedék,jövedéki
