himlő,himlős
hímnő,hímnős
hitel,hitelv
hitet,hitető
hívás,hívási
hódít,hódító
hódol,hódoló
hódol,hódolt
holló,hollós
homok,homoki
hónap,hónapi
horda,hordat
hordó,hordós
horpa,horpad
hossz,hosszú
hozam,hozamú
hozzá,hozzád
hulla,hullat
húzás,húzási
huzat,huzatú
hűbér,hűbéri
hűsít,hűsítő
hűsöl,hűsölő
mackó,mackós
magán,magány
magnó,magnós
magol,magoló
major,majori
majré,majrés
május,májusi
mankó,mankós
manus,manusz
marad,maradi
marad,maradó
margó,margóz
másol,másoló
maszk,maszka
mázli,mázlis
mázol,mázoló
megad,megadó
megél,megélt
megér,megért
megfő,megfől
megfő,megfőz
megfú,megfúj
megfú,megfúl
megfú,megfúr
megöl,megölt
mégse,mégsem
megye,megyei
mellé,mellék
mente,menten
mente,mentes
mente,mentet
mentő,mentől
mentő,mentős
menny,mennye
menny,mennyi
mered,meredt
méret,méretű
merít,merítő
merül,merülő
metél,metélő
metél,metélt
metsz,metsző
mézel,mézelő
minap,minapi
modor,modorú
monda,mondat
mulat,mulató
mulat,mulatt
mutat,mutató
műtét,műtéti
művel,művelő
művel,művelt
műves,művese
újkor,újkori
úrbér,úrbéri
sápad,sápadt
sarló,sarlós
sarló,sarlóz
sátán,sátáni
segél,segély
segít,segítő
semmi,semmis
semmi,semmiz
seprő,seprős
seprű,seprűz
serke,serked
serke,serken
sérül,sérült
sétál,sétáló
simít,simító
simul,simuló
sírás,sírásó
sírás,sírású
sirat,sirató
sodor,sodort
sóhaj,sóhajt
sorba,sorban
sorfa,sorfal
soroz,sorozó
sóvár,sóvári
spiné,spinét
suhan,suhanc
suhog,suhogó
susog,susogó
sűrít,sűrítő
ábécé,ábécés
ablak,ablakú
addig,addigi
ajánl,ajánló
akció,akciós
akkor,akkora
akkor,akkord
akkor,akkori
aknás,aknász
aktív,aktíva
alább,alábbi
aláfú,aláfúr
aláír,aláíró
aláír,aláírt
alant,alanti
alany,alanyi
áldoz,áldozó
alhas,alhasi
alkat,alkati
alkat,alkatú
alkot,alkotó
állam,állami
állás,állású
állat,állati
állít,állító
altáj,altáji
altat,altató
alvad,alvadt
angin,angina
anyag,anyagi
anyag,anyagú
arány,arányú
arasz,araszt
arcél,arcélű
árkol,árkolt
aszal,aszaló
aszal,aszalt
átfed,átfedő
átfej,átfejt
átfog,átfogó
átfut,átfutó
áthal,áthall
áthat,átható
átjár,átjáró
átkel,átkelő
átkel,átkelt
átköt,átkötő
átmér,átmérő
áttol,áttold
áttör,áttörő
áttör,áttört
átvág,átvágó
átvet,átvető
átvon,átvonz
aznap,aznapi
áztat,áztató
óceán,óceáni
odaad,odaadó
odaér,odaért
óhajt,óhajtó
oktat,oktató
oktáv,oktáva
oldal,oldali
oldal,oldalt
oldal,oldalú
oltár,oltári
olvad,olvadó
olvad,olvadt
olvas,olvasó
opera,operai
ordít,ordító
óriás,óriási
orvos,orvosi
ottan,ottani
őrjít,őrjítő
őskor,őskori
őszül,őszülő
csákó,csákós
csali,csalit
csaló,csalók
csapa,csapat
csata,csatak
csecs,csecse
csele,cseles
csele,cselez
cseng,csengő
csere,cseres
csere,cserez
csikó,csikós
csípő,csípős
csoki,csokiz
csomó,csomós
csomó,csomóz
csonk,csonka
csont,csontú
csuha,csuhaj
csuka,csukat
ébred,ébredő
éjjel,éjjeli
éltet,éltető
élvez,élvező
érdem,érdemi
érint,érintő
érlel,érlelt
érsek,érseki
érték,értékű
érzet,érzett
érzék,érzéki
érzés,érzésű
észak,északi
kabar,kabard
kabar,kabaré
kábul,kábult
kalap,kalapú
kampó,kampós
kampó,kampóz
kánon,kánoni
kapar,kaparó
kapta,kaptat
kavar,kavaró
kékít,kékítő
kémia,kémiai
kénes,kéneső
képes,képest
képző,képzős
kérés,kérész
késői,későig
kelet,keleti
kelet,keletű
kellő,kellős
kelte,keltet
kelte,keltez
kendő,kendős
kendő,kendőz
kerek,kerekű
keres,kereső
keret,keretű
kerge,kerget
kerít,kerítő
kerül,kerülő
kettő,kettős
kettő,kettőz
kever,kevert
kever,keverő
kezel,kezelt
kezel,kezelő
kiadó,kiadós
kibúj,kibújó
kicsi,kicsit
kidob,kidobó
kidug,kidugó
kímél,kímélő
kísér,kísérő
kísér,kísért
kíván,kívánt
kifej,kifejt
kifog,kifogy
kifut,kifutó
kihal,kihall
kihal,kihalt
kihal,kihaló
kihív,kihívó
kihúz,kihúzó
kijár,kijáró
kikap,kikapó
kikel,kikelt
kikér,kikérd
kikér,kikérő
kiköt,kikötő
kilop,kilopó
kilát,kilátó
kilép,kilépő
kimér,kiméra
kimér,kimére
kimér,kimért
kiold,kioldó
kirak,kirakó
kisír,kisírt
kitol,kitold
kitol,kitoló
kitár,kitárt
kitér,kitérő
kitör,kitörő
kitűz,kitűző
kiver,kivert
kivon,kivont
kivés,kivész
kizár,kizárt
kizár,kizáró
kiáll,kiálló
kiált,kiáltó
kiönt,kiöntő
klisé,kliséz
kocsi,kocsis
kohol,koholt
kókad,kókadt
komló,komlói
komló,komlós
kongó,kongói
korál,koráll
korán,koránt
korsó,korsós
kotló,kotlós
kovás,kovász
költő,költői
könny,könnyű
köpül,köpülő
körút,körúti
kötöz,kötöző
követ,követi
követ,követő
kövez,kövező
közbe,közben
közel,közeli
közöl,közölt
közút,közúti
kúria,kúriai
kutas,kutasz
kutat,kutató
küllő,küllős
külön,különb
külön,különc
bájol,bájoló
barát,baráti
barom,baromi
bazár,bazári
bázis,bázisú
beáll,beálló
becők,becőke
becők,becőké
bedug,bedugó
befej,befejő
befej,befejt
befej,befejt
befog,befogó
befog,befogy
befőz,befőző
befut,befutó
behal,behall
behal,behaló
behál,beháló
behat,beható
behív,behíva
behív,behívó
bejár,bejáró
beköt,bekötő
belát,belátó
belel,belelő
bélel,bélelt
belép,belépő
belop,belopó
bemér,bemérő
bénít,bénító
bénul,bénult
berak,berakó
berúg,berúgó
besúg,besúgó
besüt,besüti
betér,betérő
betét,betéti
betol,betold
betör,betörő
betör,betört
bever,bevert
bevet,bevett
bevon,bevont
bevon,bevonz
bezár,bezárt
bezár,bezárt
bimbó,bimbós
bírál,bíráló
bódít,bódító
bódul,bódult
bogyó,bogyós
borda,bordai
borda,bordal
bordó,bordói
borít,borító
borul,borult
botol,botoló
bóvli,bóvliz
bölcs,bölcső
bővít,bővítő
búcsú,búcsús
bukta,buktat
bunkó,bunkóz
bútor,bútorú
ügyel,ügyelő
üldöz,üldöző
ültet,ültető
ünnep,ünnepi
üvölt,üvöltő
üzlet,üzleti
udvar,udvari
ugrat,ugrató
uszít,uszító
centi,centis
centi,centiz
cicus,cicusa
cidri,cidris
cinke,cinkel
cinke,cinkez
zsalu,zsalus
zsalu,zsaluz
zsiba,zsibaj
zsidó,zsidós
zsűri,zsűriz
gazda,gazdag
gépel,gépelt
gépír,gépíró
gépír,gépírt
golyó,golyós
görbe,görbed
gőzöl,gőzölő
gurít,gurító
gurul,guruló
guvad,guvadt
padló,padlós
padló,padlóz
páhol,páholy
pakol,pakoló
palás,palást
palló,pallóz
panda,pandan
párol,pároló
párol,párolt
pasas,pasasé
passz,passzé
patkó,patkós
penge,penget
pengő,pengős
perem,peremű
perje,perjel
pesti,pestis
picik,picike
picur,picuri
pihen,pihenj
pihen,pihenő
pihen,pihent
pilis,pilisi
pille,pilled
pimpó,pimpós
pirít,pirító
pirul,pirula
pisil,pisilő
plató,platós
pocik,pocika
pokol,pokoli
porol,poroló
poros,porosz
pórus,pórusú
porzó,porzós
posta,postai
poszt,posztó
pörge,pörget
pöröl,pöröly
prior,priori
profi,profil
profi,profit
próza,prózai
pufog,pufogó
puszi,puszil
dadog,dadogó
dagad,dagadó
dagad,dagadt
darál,daráló
darál,darált
dékán,dékáni
delel,delelő
démon,démoni
derít,derítő
derül,derült
diéta,diétai
díván,dívány
dobog,dobogó
dolog,dologi
dráma,drámai
dúcol,dúcolt
dühít,dühítő
szaka,szakad
szála,szálal
szála,szálas
szála,szálaz
száll,szálló
szánt,szánta
szánt,szántó
szaru,szarus
szerv,szerva
szerv,szervi
szett,szetté
szike,szikes
szila,szilaj
szívó,szívós
szoba,szobai
szófa,szófaj
szoli,szolid
szomj,szomjú
szopó,szopós
szóra,szórat
szórt,szórta
szórt,szórta
szőlő,szőlős
szösz,szöszi
szúró,szúrós
szülő,szülői
jampi,jampis
japán,japáni
járás,járási
járás,járású
járat,járatú
járta,jártas
járta,jártat
javít,javító
jegel,jegelt
jelen,jelent
jelöl,jelölő
jelöl,jelölt
jelző,jelzői
jelző,jelzős
jókor,jókora
jólét,jóléti
jómód,jómódú
