hangrend,hangrendi
hangrend,hangrendű
hangulat,hangulatú
harácsol,harácsoló
háromláb,háromlábú
határidő,határidős
határozó,határozói
hatásfok,hatásfokú
hazaárul,hazaáruló
házasság,házassági
hazavesz,hazaveszt
hegyrajz,hegyrajzi
helyrajz,helyrajzi
helyreál,helyreáll
helyszín,helyszíni
helytáll,helytálló
hengerel,hengerelt
hidegvér,hidegvérű
história,históriai
hosszant,hosszanti
hozzáért,hozzáértő
hozzátol,hozzátold
madártan,madártani
magánjog,magánjogi
magaslat,magaslati
magasság,magassági
magasság,magasságú
magyaráz,magyarázó
magyarít,magyarító
másodfok,másodfokú
megalkot,megalkotó
megcáfol,megcáfolt
megdagad,megdagadt
megenged,megengedő
megfárad,megfáradt
megfelel,megfelelő
meghálál,meghálált
megillet,megillető
megindít,megindító
megindul,megindult
megismer,megismert
megjavul,megjavult
megjelöl,megjelölt
megkéset,megkésett
megkísér,megkísért
megkíván,megkívánt
megkövül,megkövült
meglátta,megláttat
meglepet,meglepett
megművel,megművelt
megragad,megragadó
megragad,megragadt
megrémül,megrémült
megszáll,megszálló
megszáll,megszállt
megszánt,megszánta
megszíva,megszívat
megtalál,megtaláló
megtehet,megtehető
megterem,megteremt
megúszta,megúsztat
megvisel,megviselt
megvonta,megvontat
megzavar,megzavart
megyeház,megyeháza
meggyőze,meggyőzet
meggyőző,meggyőzős
meggyújt,meggyújtó
melegágy,melegágyi
melegház,melegházi
menteget,mentegető
mentesít,mentesítő
menyegző,menyegzői
mérsékel,mérsékelt
metodika,metodikai
mibenlét,mibenléte
modellez,modellező
mosolygó,mosolygós
mulattat,mulattató
munkaidő,munkaidős
muskátli,muskátlis
műfordít,műfordító
működtet,működtető
műveltet,műveltető
művészet,művészeti
sebészet,sebészeti
segélyez,segélyező
selejtez,selejtező
sepreget,sepregető
serpenyő,serpenyős
sérteget,sértegető
sikkaszt,sikkasztó
sorvaszt,sorvasztó
söpröget,söprögető
spondeus,spondeusz
spriccel,spriccelt
stilizál,stilizált
strandol,strandoló
súlypont,súlyponti
abszolút,abszolúte
affektál,affektált
agitáció,agitációs
akadémia,akadémiai
aládúcol,aládúcolt
alapítás,alapítási
alávetet,alávetett
albérlet,albérleti
alkalmaz,alkalmazó
alkaloid,alkaloida
alkirály,alkirályi
alkonyat,alkonyati
állattan,állattani
általvet,általvető
anatómia,anatómiai
aranyfog,aranyfogú
aranyhaj,aranyhajú
arcvonás,arcvonású
árnyalat,árnyalati
árnyalat,árnyalatú
árnyékol,árnyékolt
árvaszék,árvaszéki
aspiráns,aspiránsi
átalakít,átalakító
átbillen,átbillent
átereszt,áteresztő
átérezte,átéreztet
átgondol,átgondolt
áthordoz,áthordozó
átköszön,átköszönt
atlétika,atlétikai
átokvert,átokverte
átrendez,átrendező
átriaszt,átriasztó
átrobban,átrobbant
átszokta,átszoktat
áttétele,áttételes
áttétele,áttételez
átvillan,átvillant
átzökken,átzökkent
azonosít,azonosító
odaszíja,odaszíjaz
odaterem,odateremt
odavetet,odavetett
odavezet,odavezető
offenzív,offenzíva
olimpiás,olimpiász
ólomszín,ólomszínű
oltalmaz,oltalmazó
operáció,operációs
óránként,óránkénti
országút,országúti
ottmarad,ottmaradt
csalogat,csalogató
csapkodó,csapkodós
csattanó,csattanós
csavarás,csavarási
cseppent,cseppentő
cserepez,cserepező
csikorgó,csikorgós
csomagol,csomagoló
csomagol,csomagolt
csoszogó,csoszogós
csúsztat,csúsztató
ébrenlét,ébrenléti
édenkert,édenkerti
éghajlat,éghajlati
életrajz,életrajzi
értelmez,értelmező
észjárás,észjárású
évenként,évenkénti
kacagtat,kacagtató
kanyargó,kanyargós
karamell,karamella
kávészín,kávészínű
kényszer,kényszerű
képernyő,képernyős
képesség,képességű
képvisel,képviselő
képzelet,képzeleti
kérelmez,kérelmező
kézbesít,kézbesítő
keltezés,keltezésű
keményít,keményítő
kezelhet,kezelhető
kibillen,kibillent
kibocsát,kibocsátó
kiböffen,kiböffent
kicserél,kicserélt
kicuppan,kicuppant
kidobban,kidobbant
kidolgoz,kidolgozó
kidurran,kidurrant
kidülled,kidülledt
kielégít,kielégítő
kielégül,kielégült
kísérlet,kísérleti
kifejlet,kifejlett
kifejtet,kifejtett
kifestet,kifestett
kifullad,kifulladt
kihordoz,kihordozó
kijelent,kijelentő
kikattan,kikattant
kiképzés,kiképzési
kikészít,kikészítő
kiköszön,kiköszönt
kilobban,kilobbant
kiművelt,kiművelte
kinagyol,kinagyolt
kincstár,kincstári
kipattan,kipattant
kipróbál,kipróbált
kipukkan,kipukkant
kirajzol,kirajzolt
kirezzen,kirezzent
kirikkan,kirikkant
kirobban,kirobbant
királyné,királynéi
királynő,királynői
kirándul,kiránduló
kiserken,kiserkent
kisváros,kisvárosi
kiszemel,kiszemelt
kiszerel,kiszerelt
kiszorít,kiszorító
kiszárad,kiszáradt
kiterjed,kiterjedt
kitermel,kitermelő
kitérdel,kitérdelt
kitüntet,kitüntető
kivillan,kivillant
kizökken,kizökkent
klastrom,klastromi
koalíció,koalíciós
kohászat,kohászati
kolostor,kolostori
kombinál,kombinált
kopogtat,kopogtató
kopoltyú,kopoltyús
korlátol,korlátolt
korlátoz,korlátozó
kovácsol,kovácsolt
köpönyeg,köpönyegű
körmenet,körmeneti
körüláll,körülálló
körülvet,körülvett
követség,követségi
közbezár,közbezárt
közelebb,közelebbi
középfok,középfokú
középkor,középkori
középkor,középkorú
közérdek,közérdekű
kőzettan,kőzettani
közösség,közösségi
közvetít,közvetítő
krémszín,krémszínű
kutyaház,kutyaházi
különáll,különálló
külváros,külvárosi
bagószag,bagószagú
bágyaszt,bágyasztó
baloldal,baloldali
baloldal,baloldalt
balsiker,balsikerű
barátság,barátsági
barázdál,barázdált
beavatás,beavatási
bebillen,bebillent
beburkol,beburkoló
becuppan,becuppant
becsinál,becsinált
becsípet,becsípett
becsvágy,becsvágyó
bedörren,bedörrent
bedurran,bedurrant
beépítés,beépítési
beereszt,beeresztő
befektet,befektető
befolyás,befolyású
bejelent,bejelentő
bekattan,bekattant
békéltet,békéltető
beképzel,beképzelt
beköszön,beköszönt
belecsen,belecseng
beleélve,beleélvez
beleszán,beleszánt
beleülte,beleültet
belevesz,beleveszt
belobban,belobbant
belváros,belvárosi
beosztás,beosztási
beosztás,beosztású
bepöccen,bepöccent
beriaszt,beriasztó
berobban,berobbant
beroppan,beroppant
besurran,besurranó
beszámol,beszámoló
betűrend,betűrendi
bevillan,bevillant
bevonult,bevonulta
bezökken,bezökkent
biológia,biológiai
birtokos,birtokosi
bizomány,bizományi
bizonyít,bizonyító
biztosít,biztosító
boldogul,boldogult
boltozat,boltozatú
boncolás,boncolási
bonyolít,bonyolító
borotvál,borotvált
borzaszt,borzasztó
bosszant,bosszantó
bútorzat,bútorzatú
bűnbánat,bűnbánati
büntetés,büntetési
ügyesség,ügyességi
uralkodó,uralkodói
címertan,címertani
zsomboly,zsombolya
garantál,garantált
gazdaság,gazdasági
geodézia,geodéziai
gépészet,gépészeti
gondolat,gondolati
granulál,granulált
gravíroz,gravírozó
gumitalp,gumitalpú
pacifist,pacifista
pályázat,pályázati
pártfogó,pártfogói
párthíve,párthívek
pattogat,pattogató
pergamen,pergament
permetez,permetező
pillangó,pillangós
plasztik,plasztika
politika,politikai
porhanyó,porhanyós
porlaszt,porlasztó
próbaidő,próbaidős
provokál,provokáló
provokál,provokált
december,decemberi
defenzív,defenzíva
délelőtt,délelőtti
délkelet,délkeleti
délvidék,délvidéki
deportál,deportált
deprimál,deprimált
dermeszt,dermesztő
diffamál,diffamáló
diffúzió,diffúziós
díszítés,díszítési
divatbáb,divatbábu
diverzió,diverziós
drágaság,drágasági
dugaszol,dugaszoló
dugattyú,dugattyús
duzzaszt,duzzasztó
szabadít,szabadító
szakértő,szakértői
szálloda,szállodai
számítás,számítási
szárnyal,szárnyaló
szárnyal,szárnyalt
szárogat,szárogató
szavatol,szavatolt
szavazat,szavazati
szédelgő,szédelgős
szeletel,szeletelő
szeletel,szeletelt
szelídít,szelídítő
szemközt,szemközti
szentség,szentségi
szeretet,szeretett
szerette,szerettet
szervize,szervizek
szervize,szervizel
szétágaz,szétágazó
szétoszt,szétosztó
szétszed,szétszedő
szétszór,szétszórt
szétszór,szétszórt
szibilla,szibillai
szigetel,szigetelő
szigetel,szigetelt
szinonim,szinonima
szippant,szippantó
szisszen,szisszent
szomszéd,szomszédi
szoptató,szoptatós
szusszan,szusszant
születés,születésű
szüretel,szüretelő
jelenkor,jelenkori
jelenleg,jelenlegi
jelenlét,jelenléti
jelképez,jelképező
jellemez,jellemező
jeremiád,jeremiáda
jóakarat,jóakaratú
jubileum,jubileumi
juttatás,juttatási
