hallga,hallgat
halott,halotti
hangol,hangoló
hántol,hántoló
harapó,harapós
háztáj,háztáji
hegedő,hegedős
hegedű,hegedűs
hegyez,hegyező
henceg,hencegő
henyél,henyélő
herceg,hercegi
hernyó,hernyóz
hervad,hervadt
hibban,hibbant
higgad,higgadt
hímnem,hímnemű
híradó,híradós
hirdet,hirdető
hírlap,hírlapi
hiszti,hisztis
hitelv,hitelvi
hittan,hittani
hitves,hitvesi
hizlal,hizlaló
hizlal,hizlalt
holnap,holnapi
homlok,homlokú
honvéd,honvédő
hordoz,hordozó
horkan,horkant
horpad,horpadt
hószín,hószínű
hökken,hökkent
hőmérő,hőmérői
hőmérő,hőmérőz
hurkol,hurkoló
húsvét,húsvéti
hüvely,hüvelyk
magyar,magyari
majdan,majdani
málház,málházó
markol,markoló
maródi,maródik
másfél,másféle
másnap,másnapi
matrac,matracú
mázsál,mázsáló
megáll,megállj
megáll,megálló
megbán,megbánt
megbír,megbíró
megbíz,megbízó
megejt,megejtő
megért,megértő
megfed,megfedd
megfej,megfejt
megfog,megfogy
meghal,meghall
meghal,meghalt
meghat,megható
meghív,meghívó
megkap,megkapó
megkér,megkérd
megkér,megkérő
megköt,megkötő
meglep,meglepő
megles,meglesz
megmér,megmérő
megmér,megmért
megnyí,megnyír
megráz,megrázó
megtér,megtért
megtol,megtold
megtör,megtörő
megtör,megtört
megvág,megvágó
megver,megvert
megvet,megvető
mélabú,mélabús
mellék,melléki
mélyít,mélyítő
mennye,mennyei
mérgez,mérgező
mérnök,mérnöki
mértan,mértani
mérték,mértékű
mester,mesteri
meszel,meszelő
meszel,meszelt
millió,milliós
mintáz,mintázó
mocsár,mocsári
mostan,mostani
mozgás,mozgási
mozgás,mozgású
mozgat,mozgató
mulató,mulatós
munkál,munkált
mutató,mutatós
múzeum,múzeumi
muzsik,muzsika
műanya,műanyag
műszak,műszaki
művész,művészi
újraér,újraért
úsztat,úsztató
útszél,útszéli
sajtol,sajtoló
sajtol,sajtolt
sarkal,sarkall
sárrét,sárréti
sejtet,sejtett
serceg,sercegő
serdül,serdülő
serdül,serdült
serken,serkent
sikoly,sikolya
simító,simítóz
sodrás,sodrású
státus,státusz
stílus,stílusú
suttog,suttogó
sürget,sürgető
süvölt,süvöltő
adagol,adagoló
adogat,adogató
advent,adventi
ágazat,ágazati
aggkor,aggkori
akarat,akarati
akarat,akaratú
akaszt,akasztó
alapít,alapító
alátol,alátold
alföld,alföldi
alkony,alkonyi
altest,altesti
amazon,amazoni
angyal,angyali
apajog,apajogú
aratás,aratási
árnyék,árnyékú
árusít,árusító
ásvány,ásványi
asztal,asztali
átcsen,átcseng
átélte,átéltet
átkelt,átkelte
átszán,átszánt
átszel,átszelő
attika,attikai
átutaz,átutazó
átvált,átváltó
átvesz,átveszt
atyafi,atyafia
odaért,odaérte
odales,odalesz
odatol,odatold
odavon,odavonz
odazár,odazárt
okirat,okirati
okozat,okozati
oktató,oktatói
okulár,okuláré
olajoz,olajozó
oldalú,oldalút
ónszín,ónszínű
optika,optikai
óraköz,óraközi
otthon,otthoni
óvilág,óvilági
őrnagy,őrnagyi
ősanya,ősanyag
ősszáj,ősszájú
csábít,csábító
család,családi
csalók,csalóka
csapol,csapolt
csatló,csatlós
csatol,csatoló
csavar,csavaró
csavar,csavart
csecse,csecsen
csecse,csecses
cselló,csellós
cselló,csellós
csengő,csengős
csepeg,csepegő
csévél,csévélő
csinál,csináló
csinál,csinált
csipke,csipked
csipog,csipogó
csobog,csobogó
csodál,csodáló
csodál,csodált
csomóz,csomózó
csöpög,csöpögő
csörge,csörget
csörlő,csörlőz
csörög,csöröge
csörte,csörtet
csukló,csuklós
csukók,csukóka
édesít,édesítő
éleszt,élesztő
énekel,énekelt
építés,építési
építés,építész
építés,építésű
érpart,érparti
érvény,érvényű
észlel,észlelő
kagyló,kagylós
kanyar,kanyaró
kaptat,kaptató
kárpál,kárpáló
kártol,kártolt
karzat,karzati
kaszál,kaszáló
katona,katonai
kattan,kattant
kémlel,kémlelő
képzel,képzelt
képzet,képzett
kérdez,kérdező
kérlel,kérlelő
később,későbbi
készít,készítő
készül,készülő
készül,készült
kétrét,kétrétű
kézfej,kézfeji
kedvel,kedvelt
kedvel,kedvelő
kedvez,kedvező
kedély,kedélyű
kegyel,kegyelt
keltet,keltető
kereng,kerengő
kering,keringő
kesely,keselyű
kezdet,kezdeti
kicsen,kicseng
kiemel,kiemelt
kiemel,kiemelő
kísért,kísértő
kifejt,kifejte
kifejt,kifejtő
kifele,kifeled
kifele,kifelez
kihajt,kihajtó
kihord,kihordó
kihúzó,kihúzós
kikapó,kikapós
kikelt,kikelte
kikötő,kikötői
kimére,kiméret
kirakó,kirakós
király,királyi
kisfiú,kisfiús
kisüst,kisüsti
kitart,kitartó
kitevő,kitevős
kivesz,kiveszt
kivesz,kivesző
kivont,kivonta
kiéget,kiégett
kiéget,kiégető
koccan,koccant
kocsma,kocsmai
koldul,kolduló
konzul,konzuli
konyha,konyhai
kopasz,kopaszt
koplal,koplaló
koppan,koppant
koptat,koptató
korhad,korhadó
korhad,korhadt
kórház,kórházi
kóstol,kóstoló
kotyog,kotyogó
köldök,köldöki
köpköd,köpködő
köptet,köptető
körzet,körzeti
kőszál,kőszáli
köszön,köszönő
köszön,köszönt
közjog,közjogi
köznap,köznapi
község,községi
kunkor,kunkori
kurbli,kurbliz
kuszál,kuszált
kutyul,kutyuli
külügy,külügyi
bagázs,bagázsi
bágyad,bágyadt
bajnok,bajnoki
bajusz,bajuszú
beálló,beállós
becsen,becseng
beesés,beesési
befejt,befejte
befejt,befejte
befele,befelel
befele,befelez
befúva,befúvat
begyűr,begyűrű
beháló,behálóz
behíva,behívat
behuny,behunyt
beijed,beijedt
béklyó,béklyóz
bekölt,beköltő
beleél,beleélő
beleér,beleért
belefő,belefőz
belefú,belefúj
belefú,belefúl
belefú,belefúr
beleöl,beleölt
belügy,belügyi
bemond,bemondó
benyel,benyelt
benyúl,benyúló
bérlet,bérleti
berreg,berregő
beszán,beszánt
beszéd,beszédű
beszél,beszélő
beszél,beszélt
beszél,beszély
beszív,beszíva
beszór,beszórt
beszór,beszórt
beszűr,beszűrő
betéve,betéved
betölt,betöltő
beutal,beutaló
beutal,beutalt
bevesz,beveszt
bezárt,bezárta
bezárt,bezárta
biblia,bibliai
biccen,biccent
billeg,billegő
billen,billent
biztat,biztató
bocsát,bocsátó
bocsát,bocsátó
boglya,boglyas
bombáz,bombázó
bomlás,bomlási
bontás,bontási
borong,borongó
bosszú,bosszús
botfül,botfülű
böffen,böffent
bömböl,bömbölő
bőszül,bőszült
bugyog,bugyogó
bújtat,bújtató
bukkan,bukkanó
buktat,buktató
burkol,burkoló
burkol,burkolt
büntet,büntető
bűnügy,bűnügyi
bűnvád,bűnvádi
ügyvéd,ügyvédi
űrhajó,űrhajós
ütemez,ütemező
üvegez,üvegező
uraság,urasági
utazás,utazási
utolér,utolért
cenzor,cenzori
cérnáz,cérnázó
cinkos,cinkosi
ciprus,ciprusi
cirkál,cirkáló
cuppan,cuppant
zsákol,zsákoló
zsaluz,zsaluzó
zsarol,zsaroló
zsibog,zsibogó
zsiger,zsigeri
zsíroz,zsírozó
Zsolna,Zsolnay
zsúfol,zsúfolt
zsugor,zsugori
gagyog,gagyogó
gallér,gallérú
gépágy,gépágyú
gépész,gépészi
gerinc,gerincű
gigász,gigászi
gombás,gombász
gomoly,gomolya
gondol,gondola
gondol,gondolt
gondoz,gondozó
görbül,görbülő
gördül,gördülő
gügyög,gügyögő
whisky,whiskys
palota,palotai
panzió,panziós
parádé,parádés
parány,parányi
parkol,parkoló
parlag,parlagi
pártol,pártoló
pasasé,pasasér
pasasé,pasasét
patkol,patkoló
pattan,pattant
pattog,pattogó
penget,pengető
péntek,pénteki
percen,percent
pezsgő,pezsgős
pikkel,pikkely
pilled,pilledt
pirító,pirítós
polgár,polgári
pontoz,pontozó
porció,porcióz
portál,portálé
poshad,poshadt
posztó,posztós
pöccen,pöccent
pörget,pörgető
pörköl,pörkölt
présel,préselt
próbál,próbált
profil,profilú
puffad,puffadt
puffan,puffanó
puffan,puffant
pukkan,pukkant
puszta,pusztai
püffed,püffedt
püspök,püspöki
dereng,derengő
dermed,dermedt
dicsér,dicsérő
direkt,direkte
díszít,díszítő
dísztű,dísztűz
dobban,dobbant
doktor,doktora
doktor,doktori
döbben,döbbent
döccen,döccenő
döngöl,döngölő
döngöl,döngölt
dörren,dörrent
dőzsöl,dőzsölő
durran,durranó
durran,durrant
duzzad,duzzadt
dühöng,dühöngő
dülled,dülledt
szabás,szabású
szabás,szabász
szajkó,szajkóz
szakad,szakadt
szakít,szakító
szakma,szakmai
számít,számító
számla,számlap
számol,számoló
szánta,szántat
szapul,szapuló
szárad,száradt
szárít,szárító
szárny,szárnyú
szatír,szatíra
szaval,szavaló
szavaz,szavazó
szedet,szedett
szédít,szédítő
szédül,szédült
székel,székely
szelel,szelelő
szellő,szellős
szemel,szemelt
szende,szender
szenel,szenelő
szépít,szépítő
szeplő,szeplős
szerda,szerdai
szerel,szerelő
szeret,szerető
szervi,szerviz
szerző,szerzői
szétfő,szétfől
szétfő,szétfőz
szétfú,szétfúj
szétfú,szétfúr
sziget,szigeti
szigor,szigorú
színez,színező
színfa,színfal
szirén,sziréna
szolga,szolgai
szónok,szónoki
szorít,szorító
szorul,szoruló
