helyrehoz,helyrehozó
hepatitis,hepatitisz
hetenként,hetenkénti
hétköznap,hétköznapi
hieroglif,hieroglifa
homlokzat,homlokzati
hosszúság,hosszúsági
hozzászól,hozzászóló
hozzátart,hozzátartó
marasztal,marasztaló
masszíroz,masszírozó
mechanika,mechanikai
megakaszt,megakasztó
megalapoz,megalapozó
megbecsül,megbecsült
megbeszél,megbeszélt
megbiccen,megbiccent
megbillen,megbillent
megbocsát,megbocsátó
megcsinál,megcsinált
megdobban,megdobbant
megdöbben,megdöbbent
megdurran,megdurrant
megérezte,megéreztet
megfigyel,megfigyelő
megfontol,megfontolt
megformál,megformált
meggondol,meggondolt
meggörbül,meggörbült
meghajtás,meghajtású
meghibban,meghibbant
meghiúsul,meghiúsult
meghökken,meghökkent
meghülyül,meghülyült
megjelölt,megjelölte
megkezdet,megkezdett
megkísért,megkísérte
megkoccan,megkoccant
megkoppan,megkoppant
megköszön,megköszönt
meglebben,meglebbent
meglobban,meglobbant
megmentet,megmentett
megmoccan,megmoccant
megmunkál,megmunkált
megőrizte,megőriztet
megörökít,megörökítő
megpukkan,megpukkant
megrendel,megrendelő
megrendel,megrendelt
megrendít,megrendítő
megretten,megrettent
megrezzen,megrezzent
megroppan,megroppant
megsiette,megsiettet
megsínyli,megsínylik
megszakít,megszakító
megszánta,megszántat
megszárít,megszárító
megszólít,megszólító
megszorul,megszorult
megteremt,megteremte
megterhel,megterhelt
megvillan,megvillant
megzavart,megzavarta
megzökken,megzökkent
megzörren,megzörrent
melléknév,melléknévi
melodráma,melodrámai
méltányol,méltányolt
mentesség,mentességi
mennyezet,mennyezeti
mennyiség,mennyiségi
mennyiség,mennyiségű
mindennap,mindennapi
miniszter,miniszteri
mitológia,mitológiai
mondattan,mondattani
motorizál,motorizált
művelődés,művelődési
újjáterem,újjáteremt
újraterem,újrateremt
sarkantyú,sarkantyús
sarkantyú,sarkantyúz
sportszer,sportszerű
sportzakó,sportzakós
stratégia,stratégiai
süllyeszt,süllyesztő
sürgősség,sürgősségi
adásvétel,adásvételi
akusztika,akusztikai
alapszint,alapszintű
alárendel,alárendelő
alárendel,alárendelt
alattvaló,alattvalói
alezredes,alezredesi
állítmány,állítmányi
állványoz,állványozó
anyakönyv,anyakönyvi
anyanyelv,anyanyelvi
anyaszült,anyaszülte
aranyszín,aranyszínű
artikulál,artikulált
ásványtan,ásványtani
aszfaltoz,aszfaltozó
átcsúszta,átcsúsztat
átirányít,átirányító
átolvasta,átolvastat
áttelepül,áttelepült
átvilágít,átvilágító
augusztus,augusztusi
azonosság,azonossági
odadörren,odadörrent
odadurran,odadurrant
odakoccan,odakoccant
odakoppan,odakoppant
odalebben,odalebbent
odaszokta,odaszoktat
odatoppan,odatoppant
odavillan,odavillant
ontológia,ontológiai
országház,országháza
osztályoz,osztályozó
csepegtet,csepegtető
cseppentő,cseppentős
csillapít,csillapító
csillogás,csillogású
csipkézet,csipkézett
csokoládé,csokoládés
csomópont,csomóponti
csontszín,csontszínű
csömöszöl,csömöszölő
csöpögtet,csöpögtető
élelmezés,élelmezési
építkezés,építkezési
építészet,építészeti
építésügy,építésügyi
értékesít,értékesítő
kápráztat,kápráztató
karácsony,karácsonyi
karikaláb,karikalábú
kárörvend,kárörvendő
kataszter,kataszteri
kecsegtet,kecsegtető
kecskeláb,kecskelábú
kérvényez,kérvényező
készenlét,készenléti
készletez,készletező
keménység,keménységű
keresztbe,keresztben
keresztel,keresztelő
kertészet,kertészeti
khakiszín,khakiszínű
kibuggyan,kibuggyant
kicsapong,kicsapongó
kicseppen,kicseppent
kicsillan,kicsillant
kicsinyel,kicsinyell
kicsinyít,kicsinyítő
kicsiszol,kicsiszolt
kicsúszta,kicsúsztat
kiegészít,kiegészítő
kifinomul,kifinomult
kifizette,kifizettet
kifogásol,kifogásolt
kihallgat,kihallgató
kiindulás,kiindulási
kikalapál,kikalapált
kikiáltás,kikiáltási
kiloccsan,kiloccsant
kilöttyen,kilöttyent
kimenetel,kimenetelű
kimustrál,kimustrált
kiművelte,kiműveltet
kinyiffan,kinyiffant
kipirosít,kipirosító
kipottyan,kipottyant
kipróbált,kipróbálta
kirajzolt,kirajzolta
kirekeszt,kirekesztő
királyság,királysági
kisdoktor,kisdoktori
kisebbség,kisebbségi
kisiparos,kisiparosi
kispolgár,kispolgári
kisportol,kisportolt
kiszikkad,kiszikkadt
kiszolgál,kiszolgáló
kitereget,kiteregető
kitámaszt,kitámasztó
kitörölte,kitöröltet
kivitelez,kivitelező
kiállítás,kiállítási
kollégium,kollégiumi
kollektív,kollektíva
komplikál,komplikált
koncepció,koncepciós
kondenzál,kondenzált
konfekció,konfekciós
konvenció,konvenciós
konzervál,konzervált
konyhakés,konyhakész
kormányzó,kormányzói
kozmetika,kozmetikai
kőkorszak,kőkorszaki
körbeháló,körbehálóz
környezet,környezeti
körülülte,körülültet
közbeékel,közbeékelt
közbejött,közbejötte
közbenjár,közbenjáró
középpont,középponti
középszer,középszerű
kukucskál,kukucskáló
külország,külországi
balvégzet,balvégzetű
bántalmaz,bántalmazó
bányászat,bányászati
becsattan,becsattant
becseppen,becseppent
befogadta,befogadtat
begyógyul,begyógyult
begyullad,begyulladt
begyűjtés,begyűjtési
beismerte,beismertet
bekebelez,bekebelező
bekerülés,bekerülési
beköszönt,beköszöntő
beleértet,beleértett
belekever,belekevert
belelépte,beleléptet
beleterem,beleteremt
belevágta,belevágtat
beloccsan,beloccsant
bemocskol,bemocskolt
beolvasta,beolvastat
bepottyan,bepottyant
beragaszt,beragasztó
bereccsen,bereccsent
bérlemény,bérleményi
beruházás,beruházási
beszállít,beszállító
beszerzés,beszerzési
bevilágít,bevilágító
bevonulta,bevonultat
billentyű,billentyűs
birtoklás,birtoklási
bizottság,bizottsági
biztonság,biztonsági
biztonság,biztonságú
bölcselet,bölcseleti
bronztest,bronztestű
bronzszín,bronzszínű
búcsúztat,búcsúztató
üzemeltet,üzemeltető
unokabáty,unokabátya
civilizál,civilizált
cukorgyár,cukorgyári
zsibbaszt,zsibbasztó
gazdagság,gazdagságú
generáció,generációs
geofizika,geofizikai
geometria,geometriai
gimnázium,gimnáziumi
gladiátor,gladiátori
gombolyít,gombolyító
pacsmagol,pacsmagolt
parancsol,parancsoló
parlament,parlamenti
pártfogol,pártfogolt
pattantyú,pattantyús
pedagógia,pedagógiai
plasztika,plasztikai
pneumatik,pneumatika
polgárjog,polgárjogi
pontosság,pontosságú
programoz,programozó
protekció,protekciós
degenerál,degenerált
dekoráció,dekorációs
délnyugat,délnyugati
denaturál,denaturált
derékszög,derékszögű
dezodorál,dezodoráló
digitális,digitálisz
dohányáru,dohányárus
domborzat,domborzati
szabadtér,szabadtéri
szabályoz,szabályozó
szakaszol,szakaszoló
szállítás,szállítási
szándékol,szándékolt
származás,származású
századvég,századvégi
szegecsel,szegecselő
szegélyez,szegélyező
széjjelfő,széjjelfőz
szélesség,szélességi
szemerkél,szemerkélő
szemöldök,szemöldökű
szentírás,szentírási
szenzáció,szenzációs
szerkeszt,szerkesztő
szerkezet,szerkezeti
szervezés,szervezési
szervezet,szervezeti
szervezet,szervezett
szerzetes,szerzetesi
szétszórt,szétszórta
szétszórt,szétszórta
széttagol,széttagolt
szétterül,szétterülő
szikkaszt,szikkasztó
szilárdít,szilárdító
színvonal,színvonalú
szivattyú,szivattyúz
szociális,szociálist
szolgálat,szolgálati
szövetség,szövetségi
sztrájkol,sztrájkoló
szükségel,szükségelt
szülészet,szülészeti
játszótér,játszótéri
jobboldal,jobboldali
jobboldal,jobboldalt
jóindulat,jóindulatú
